State,Value
  1 11   1 1,-0.741206046
  1 11   11 ,-0.857375
  1 11   111,-0.081557797
  1 11  1   ,-0.073605912
  1 11  1  1,-0.737026343
  1 11  1 1 ,-0.956114155
  1 11  1 11,-0.122283109
  1 11  11  ,0.036754595
  1 11  11 1,-0.081557797
  1 11  111 ,-0.081557797
  1 11  1111,-0.909274687
  1 11 1    ,-0.034916865
  1 11 1   1,0.077479907
  1 11 1  1 ,-0.95
  1 11 1  11,-0.95
  1 11 1 1  ,-0.741206046
  1 11 1 1 1,-0.081557797
  1 11 1 11 ,-0.896064047
  1 11 1 111,-1.723780938
  1 11 11   ,-0.872520093
  1 11 11  1,-0.081557797
  1 11 11 1 ,-0.122283109
  1 11 11 11,-0.864149687
  1 11 111  ,-0.988689047
  1 11 111 1,-1.766649687
  1 11 1111 ,0.040725313
  1 11 11111,-0.09036875
  1 111     ,-0.034916865
  1 111    1,-0.737026343
  1 111   1 ,-0.698337296
  1 111   11,-0.857375
  1 111  1  ,-0.737026343
  1 111  1 1,0.006435953
  1 111  11 ,-0.081557797
  1 111  111,-0.006774687
  1 111 1   ,-0.006114155
  1 111 1  1,-0.081557797
  1 111 1 1 ,-0.081557797
  1 111 1 11,0.085850313
  1 111 11  ,-0.95
  1 111 11 1,-1.766649687
  1 111 111 ,-1.678655937
  1 111 1111,-0.99286875
  1 1111    ,-0.779895093
  1 1111   1,-0.081557797
  1 1111  1 ,-0.896064047
  1 1111  11,0.040725313
  1 1111 1  ,-0.038689047
  1 1111 1 1,-1.766649687
  1 1111 11 ,0.085850313
  1 1111 111,-0.99286875
  1 11111   ,1.594723141
  1 11111  1,-2.581155937
  1 11111 1 ,-1.723780938
  1 11111 11,-0.99286875
  1 111111  ,-1.723780938
  1 111111 1,0.00713125
  1 1111111 ,-0.99286875
  1 11111111,0.142625
11,0.631907961
  11       1,-0.703855321
  11      1 ,-0.787449384
  11      11,-0.034916865
  11     1  ,-0.703855321
  11     1 1,-0.034916865
  11     11 ,-0.04286875
  11     111,0.077479907
  11    1   ,-0.703855321
  11    1  1,-0.034916865
  11    1 1 ,0
  11    1 11,0.036754595
  11    11  ,-0.034916865
  11    11 1,-0.773780937
  11    111 ,-0.737026343
  11    1111,-0.174182797
  11   1    ,-0.665166275
  11   1   1,-0.034916865
  11   1  1 ,-0.034916865
  11   1  11,-0.773780937
  11   1 1  ,-0.034916865
  11   1 1 1,-0.737026343
  11   1 11 ,0.077479907
  11   1 111,0.775817203
  11   11   ,0.700175026
  11   11  1,-0.737026343
  11   11 1 ,-0.868120405
  11   11 11,-0.122283109
  11   111  ,-0.737026343
  11   111 1,-0.081557797
  11   1111 ,-0.257776859
  11   11111,-0.864149687
  11  1     ,-0.668938457
  11  1    1,-0.034916865
  11  1   1 ,0.624731384
  11  1   11,-0.737026343
  11  1  1  ,-0.034916865
  11  1  1 1,-0.737026343
  11  1  11 ,0.036754595
  11  1  111,-0.174182797
  11  1 1   ,0.657306276
  11  1 1  1,-0.737026343
  11  1 1 1 ,-0.612486984
  11  1 1 11,-0.081557797
  11  1 11  ,-0.820620405
  11  1 11 1,-0.988689047
  11  1 111 ,-0.943564047
  11  1 1111,-0.864149687
  11  11    ,-0.065235506
  11  11   1,-0.737026343
  11  11  1 ,-0.737026343
  11  11  11,-0.081557797
  11  11 1  ,-0.006114155
  11  11 1 1,-0.081557797
  11  11 11 ,-0.896064047
  11  11 111,-0.816649687
  11  111   ,-0.779895093
  11  111  1,-0.081557797
  11  111 1 ,0
  11  111 11,-0.864149687
  11  1111  ,-0.174182797
  11  1111 1,-1.766649687
  11  11111 ,-1.766649687
  11  111111,-0.09036875
  11 1      ,-1.498369815
  11 1     1,0.740900338
  11 1    1 ,0
  11 1    11,-1.729895093
  11 1   1  ,-0.95
  11 1   1 1,-0.741206046
  11 1   11 ,-0.737026343
  11 1   111,-0.081557797
  11 1  1   ,0.779589385
  11 1  1  1,-0.904875
  11 1  1 1 ,-0.95
  11 1  1 11,-0.081557797
  11 1  11  ,-1.472118234
  11 1  11 1,-0.081557797
  11 1  111 ,-0.129057797
  11 1  1111,-1.766649687
  11 1 1    ,-0.95
  11 1 1   1,-0.95
  11 1 1  1 ,-0.95
  11 1 1  11,-0.038689047
  11 1 1 1  ,-0.737026343
  11 1 1 1 1,-0.081557797
  11 1 1 11 ,-0.086189047
  11 1 1 111,-1.723780937
  11 1 11   ,-0.857375
  11 1 11  1,-0.038689047
  11 1 11 1 ,-0.129057797
  11 1 11 11,-0.678655937
  11 1 111  ,-0.086189047
  11 1 111 1,-1.678655937
  11 1 1111 ,-0.678655937
  11 1 11111,-0.09036875
  11 11     ,0
  11 11    1,-2.464986984
  11 11   1 ,-0.827395093
  11 11   11,-0.081557797
  11 11  1  ,-1.729895093
  11 11  1 1,1.594723141
  11 11  11 ,-0.257776859
  11 11  111,-1.766649687
